ID,Name,Address,Latitude,Longitude,Opening Hours,Types,Rating,User Ratings Total
ChIJhUsxrssZQjERKUuhxibO6o8,Chè Thái NaNa,"Nam Dương, Hải Châu District, Da Nang 550000, Vietnam",16.0612036,108.2177017,"['Monday: 8:30\u202fAM\u2009–\u200911:00\u202fPM', 'Tuesday: 8:30\u202fAM\u2009–\u200911:00\u202fPM', 'Wednesday: 8:30\u202fAM\u2009–\u200911:00\u202fPM', 'Thursday: 8:30\u202fAM\u2009–\u200911:00\u202fPM', 'Friday: 8:30\u202fAM\u2009–\u200911:00\u202fPM', 'Saturday: 8:30\u202fAM\u2009–\u200911:00\u202fPM', 'Sunday: 8:30\u202fAM\u2009–\u200911:00\u202fPM']","['cafe', 'food', 'point_of_interest', 'establishment']",4.4,235
ChIJhQH1ecsZQjEReaeZrJLG8YQ,Deli Coffee House,"87 Đ. Lê Đình Dương, Phước Ninh, Hải Châu, Đà Nẵng 550000, Vietnam",16.0616231,108.2193091,"['Monday: 6:30\u202fAM\u2009–\u200910:00\u202fPM', 'Tuesday: 6:30\u202fAM\u2009–\u200910:00\u202fPM', 'Wednesday: 6:30\u202fAM\u2009–\u200910:00\u202fPM', 'Thursday: 6:30\u202fAM\u2009–\u200910:00\u202fPM', 'Friday: 6:30\u202fAM\u2009–\u200910:00\u202fPM', 'Saturday: 6:30\u202fAM\u2009–\u200910:00\u202fPM', 'Sunday: 6:30\u202fAM\u2009–\u200910:00\u202fPM']","['cafe', 'point_of_interest', 'food', 'establishment']",3.9,36
ChIJyUX1ecsZQjERkDxGn5ZvM24,Mr.Ro Coffee,"87A Đ. Lê Đình Dương, Phước Ninh, Hải Châu, Đà Nẵng 550000, Vietnam",16.0616075,108.2193397,"['Monday: 6:00\u202fAM\u2009–\u200910:30\u202fPM', 'Tuesday: 6:00\u202fAM\u2009–\u200910:30\u202fPM', 'Wednesday: 6:00\u202fAM\u2009–\u200910:30\u202fPM', 'Thursday: 6:00\u202fAM\u2009–\u200910:30\u202fPM', 'Friday: 6:00\u202fAM\u2009–\u200910:30\u202fPM', 'Saturday: 6:00\u202fAM\u2009–\u200910:30\u202fPM', 'Sunday: 6:00\u202fAM\u2009–\u200910:30\u202fPM']","['cafe', 'food', 'point_of_interest', 'establishment']",4.1,110
ChIJg9-8ws4ZQjERi4YndBXc89c,Cafe Cỏ Hoa,"12B Nguyễn Thiện Thuật, Bình Hiên, Hải Châu, Đà Nẵng 825545, Vietnam",16.0565631,108.2213121,"['Monday: 6:00\u202fAM\u2009–\u20099:00\u202fPM', 'Tuesday: 6:00\u202fAM\u2009–\u20099:00\u202fPM', 'Wednesday: 6:00\u202fAM\u2009–\u20099:00\u202fPM', 'Thursday: 6:00\u202fAM\u2009–\u20099:00\u202fPM', 'Friday: 6:00\u202fAM\u2009–\u20099:00\u202fPM', 'Saturday: 6:00\u202fAM\u2009–\u20099:00\u202fPM', 'Sunday: 6:00\u202fAM\u2009–\u20099:00\u202fPM']","['cafe', 'store', 'point_of_interest', 'food', 'establishment']",4.1,51
ChIJ13MshlIYQjERM4sqFu8lvyA,Ribo Coffee,"05 Thái Thị Bôi, Chính Gián, Thanh Khê, Đà Nẵng 550000, Vietnam",16.0682715,108.2011952,"['Monday: 6:30\u202fAM\u2009–\u200910:30\u202fPM', 'Tuesday: 6:30\u202fAM\u2009–\u200910:30\u202fPM', 'Wednesday: 6:30\u202fAM\u2009–\u200910:30\u202fPM', 'Thursday: 6:30\u202fAM\u2009–\u200910:30\u202fPM', 'Friday: 6:30\u202fAM\u2009–\u200910:30\u202fPM', 'Saturday: 6:30\u202fAM\u2009–\u200910:30\u202fPM', 'Sunday: 6:30\u202fAM\u2009–\u200910:30\u202fPM']","['cafe', 'point_of_interest', 'food', 'establishment']",4.1,306
ChIJI_pBa8oZQjER4rvCVGkTFS0,Timo - Digital Bank,"23 Nguyễn Văn Linh, Bình Hiên, Hải Châu, Đà Nẵng 550000, Vietnam",16.0607409,108.221372,"['Monday: 8:30\u202fAM\u2009–\u200912:00\u202fPM, 1:00\u2009–\u20095:30\u202fPM', 'Tuesday: 8:30\u202fAM\u2009–\u200912:00\u202fPM, 1:00\u2009–\u20095:30\u202fPM', 'Wednesday: 8:30\u202fAM\u2009–\u200912:00\u202fPM, 1:00\u2009–\u20095:30\u202fPM', 'Thursday: 8:30\u202fAM\u2009–\u200912:00\u202fPM, 1:00\u2009–\u20095:30\u202fPM', 'Friday: 8:30\u202fAM\u2009–\u200912:00\u202fPM, 1:00\u2009–\u20095:30\u202fPM', 'Saturday: 8:30\u202fAM\u2009–\u200912:00\u202fPM', 'Sunday: Closed']","['bank', 'cafe', 'point_of_interest', 'food', 'finance', 'establishment']",4.6,31
ChIJwWVwezMYQjERwabNrG7WyPU,Phòng trà Ca nhạc Thanh Trà,"97 Phan Châu Trinh, Phước Ninh, Hải Châu, Đà Nẵng 550000, Vietnam",16.0662717,108.2202579,,"['cafe', 'food', 'point_of_interest', 'establishment']",4.1,59
ChIJx9rweAEZQjERCTilcsyhl5A,ABC,"357M+VQQ, Cù Chính Lan, Thanh Khê Đông, Thanh Khê, Đà Nẵng 550000, Vietnam",16.0647199,108.1844712,,"['cafe', 'food', 'point_of_interest', 'establishment']",4.3,3
ChIJnzfX91EYQjERpTGmniqxHlw,Cà phê phương nguyên,"67 Tôn Thất Đạm, Xuân Hà, Thanh Khê, Đà Nẵng 550000, Vietnam",16.0714504,108.2013397,"['Monday: 7:30\u202fAM\u2009–\u20095:30\u202fPM', 'Tuesday: 7:30\u202fAM\u2009–\u20095:30\u202fPM', 'Wednesday: 7:30\u202fAM\u2009–\u20095:30\u202fPM', 'Thursday: 7:30\u202fAM\u2009–\u20095:30\u202fPM', 'Friday: 7:30\u202fAM\u2009–\u20095:30\u202fPM', 'Saturday: 7:30\u202fAM\u2009–\u20095:30\u202fPM', 'Sunday: 7:30\u202fAM\u2009–\u20095:30\u202fPM']","['cafe', 'food', 'point_of_interest', 'establishment']",4.5,10
ChIJjyObfjMYQjERPCR02HhMTMk,Cloudy Nitrogen Icecream & Drinks,"91 Phan Châu Trinh, Hải Châu 1, Hải Châu, Đà Nẵng 550000, Vietnam",16.0668104,108.2203741,"['Monday: 7:15\u202fAM\u2009–\u200910:30\u202fPM', 'Tuesday: 7:15\u202fAM\u2009–\u200910:30\u202fPM', 'Wednesday: 7:15\u202fAM\u2009–\u200910:30\u202fPM', 'Thursday: 7:15\u202fAM\u2009–\u200910:30\u202fPM', 'Friday: 7:15\u202fAM\u2009–\u200910:30\u202fPM', 'Saturday: 7:15\u202fAM\u2009–\u200910:30\u202fPM', 'Sunday: 7:15\u202fAM\u2009–\u200910:30\u202fPM']","['cafe', 'point_of_interest', 'food', 'establishment']",3.5,267
